iter	Passed	Remaining
1006	93425	17905
1007	93514	17812
1008	93603	17718
1009	93698	17626
1010	93791	17533
1011	93855	17435
1012	93952	17343
1013	94056	17252
1014	94146	17159
1015	94238	17066
1016	94330	16973
1017	94419	16880
1018	94514	16788
1019	94600	16694
1020	94695	16601
1021	94782	16508
1022	94873	16415
1023	94960	16321
1024	95056	16229
1025	95154	16137
1026	95250	16045
1027	95342	15952
1028	95438	15859
1029	95526	15766
1030	95614	15672
1031	95702	15579
1032	95788	15485
1033	95883	15393
1034	95979	15301
1035	96073	15208
1036	96165	15115
1037	96261	15023
1038	96358	14931
1039	96457	14839
1040	96552	14747
1041	96641	14653
1042	96737	14561
1043	96804	14465
1044	96893	14371
1045	96979	14278
1046	97073	14185
1047	97170	14093
1048	97261	14000
1049	97355	13907
1050	97454	13816
1051	97557	13724
1052	97654	13632
1053	97746	13539
1054	97841	13447
1055	97935	13354
1056	98041	13263
1057	98164	13175
1058	98269	13084
1059	98368	12992
1060	98466	12899
1061	98565	12807
1062	98657	12715
1063	98760	12623
1064	98856	12531
1065	98967	12440
1066	99052	12346
1067	99152	12254
1068	99251	12162
1069	99364	12072
1070	99454	11979
1071	99563	11888
1072	99655	11795
1073	99758	11703
1074	99847	11610
1075	99944	11517
1076	100034	11424
1077	100126	11331
1078	100216	11238
1079	100288	11143
1080	100376	11049
1081	100454	10955
1082	100553	10863
1083	100637	10769
1084	100722	10675
1085	100808	10582
1086	100897	10488
1087	100985	10395
1088	101077	10302
1089	101163	10209
1090	101258	10116
1091	101343	10023
1092	101434	9930
1093	101530	9837
1094	101624	9744
1095	101703	9650
1096	101794	9557
1097	101881	9464
1098	101979	9372
1099	102076	9279
1100	102160	9186
1101	102242	9092
1102	102328	8999
1103	102421	8906
1104	102513	8813
1105	102607	8720
1106	102684	8626
1107	102776	8533
1108	102858	8440
1109	102931	8345
1110	103017	8252
1111	103108	8159
1112	103194	8066
1113	103269	7972
1114	103347	7878
1115	103433	7785
1116	103523	7692
1117	103605	7599
1118	103700	7506
1119	103788	7413
1120	103876	7320
1121	103965	7227
1122	104039	7133
1123	104130	7040
1124	104223	6948
1125	104321	6855
1126	104406	6762
1127	104481	6669
1128	104557	6575
1129	104624	6481
1130	104720	6388
1131	104818	6296
1132	104909	6203
1133	105004	6111
1134	105102	6019
1135	105200	5926
1136	105291	5834
1137	105379	5741
1138	105446	5647
1139	105540	5554
1140	105619	5461
1141	105707	5368
1142	105790	5275
1143	105874	5182
1144	105960	5089
1145	106054	4997
1146	106134	4904
1147	106228	4811
1148	106307	4718
1149	106393	4625
1150	106473	4532
1151	106561	4440
1152	106653	4347
1153	106749	4255
1154	106830	4162
1155	106923	4069
1156	107025	3977
1157	107115	3885
1158	107201	3792
1159	107292	3699
1160	107386	3607
1161	107480	3514
1162	107572	3422
1163	107678	3330
1164	107761	3237
1165	107842	3144
1166	107952	3052
1167	108070	2960
1168	108164	2868
1169	108259	2775
1170	108352	2683
1171	108441	2590
1172	108536	2498
1173	108628	2405
1174	108711	2313
1175	108798	2220
1176	108889	2127
1177	108987	2035
1178	109072	1942
1179	109158	1850
1180	109238	1757
1181	109329	1664
1182	109426	1572
1183	109524	1480
1184	109617	1387
1185	109700	1294
1186	109787	1202
1187	109876	1109
1188	109959	1017
1189	110045	924
1190	110141	832
1191	110231	739
1192	110312	647
1193	110404	554
1194	110510	462
1195	110603	369
1196	110692	277
1197	110797	184
1198	110891	92
1199	110983	0
